Time,Ctrl,QPos,QVel
0.06200000000000004,"-1.58344873,-2.0943951023931953,0.24280039658252406,-1.5886972009867304,-1.57268012,0.00907312","-1.5857906233788437,-2.3483014483498454,2.7141746348255884,-2.0939782651556142,-1.572690694410759,0.009063261628153138","0.026941826521076576,-2.09773117836726,0.2580141240631231,-1.0090169686071062,-0.0001056311263009691,8.278792381402631e-05"
0.06400000000000004,"-1.58344873,-2.0943951023931953,0.25258851227397416,-1.5115925704808078,-1.57268012,0.00907312","-1.5857397922379863,-2.35249912523579,2.7147276586815776,-2.0960809322097433,-1.5726900748275618,0.009063399312218426","0.02541557042866272,-2.0988384429723905,0.27651192799459057,-1.0513335270645416,0.00030979159860019303,6.884203264363574e-05"
0.06600000000000004,"-1.58344873,-2.0943951023931953,0.28116002796942885,-0.9256810060552128,-1.57268012,0.00907312","-1.5856907030001381,-2.356698312797805,2.715312590429161,-2.0982670350498163,-1.5726893468289695,0.009063573393403827","0.024544618924082474,-2.0995937810074645,0.29246587379177275,-1.093051420036438,0.0003639992961105801,8.704059270016908e-05"
0.06800000000000005,"-1.58344873,-2.0943951023931953,0.14777260871658404,-1.6582660010693537,-1.57268012,0.00907312","-1.5856462367610813,-2.360905079726528,2.7159140638852763,-2.1003531327376423,-1.5726882030847416,0.009063755625826","0.022233119528473677,-2.1033834643612566,0.300736728057596,-1.0430488439131167,0.0005718721140333142,9.111621108675128e-05"
0.07000000000000005,"-1.58344873,-2.0943951023931953,0.2613774432139402,-1.4540087443175977,-1.57268012,0.00907312","-1.5855940000076567,-2.36510570887878,2.716482262971035,-2.1024969689694784,-1.5726882090093663,0.009064066896273282","0.02611837671228325,-2.100314576125953,0.2840995428792187,-1.0719181159179167,-2.962312366984292e-06,0.00015563522364128973"
0.07200000000000005,"-1.58344873,-2.0943951023931953,0.2885471791024967,-1.1788492552089835,-1.57268012,0.00907312","-1.5855448477857799,-2.3693079684004315,2.7170838139836944,-2.104722988154649,-1.5726880408132313,0.009064227608614101","0.024576110938425308,-2.101129760825756,0.30077550632983896,-1.113009592585332,8.40980675240203e-05,8.035617040922799e-05"
0.07400000000000005,"-1.58344873,-2.0943951023931953,0.3008774485019954,-0.16044555204697053,-1.57268012,0.00907312","-1.5854986075489417,-2.3735120072728435,2.7177236710500976,-2.107033605959627,-1.572687851463495,0.00906440053115636","0.02312011841906117,-2.1020194362060773,0.31992853320169934,-1.1553089024888454,9.467486812155783e-05,8.646127112942724e-05"
0.07600000000000005,"-1.58344873,-2.0943951023931953,0.18169994942364864,-1.5946091689353543,-1.57268012,0.00907312","-1.58545686891754,-2.3777231476142218,2.7183759114824784,-2.1092426586059876,-1.5726875620614564,0.009064497372917917","0.020869315700861917,-2.1055701706890813,0.3261202161902782,-1.1045263231804028,0.00014470101923428735,4.8420880777631595e-05"
0.07800000000000006,"-1.58344873,-2.0943951023931953,0.2786542014431248,-0.8083713607804746,-1.57268012,0.00907312","-1.5854082193955628,-2.3819283594953182,2.718999619438307,-2.1115101991039853,-1.5726877804621302,0.0090647778612032","0.024324760988540563,-2.102605940548192,0.3118539779144118,-1.13377024899891,-0.00010920033688318091,0.00014024414264171553"
0.08000000000000006,"-1.58344873,-2.0943951023931953,0.18931180477369125,-1.6403849757500193,-1.57268012,0.00907312","-1.5853646528648317,-2.3861404983159336,2.7196289136540086,-2.1136730731634144,-1.5726875199426944,0.009064866623193784","0.02178326536553022,-2.106069410307708,0.3146471078508015,-1.0814370297146205,0.00013025971785341468,4.438099529168897e-05"
