Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6
-1.526820991114607,-2.2778422327891263,2.7869559533473676,-2.2458664666969526,-1.5572867637761474,0.0019528860858199876
-1.5247043577151769,-2.2791692534451835,2.7891233083325764,-2.253546896691462,-1.5571600598607334,0.0019137756358273473
-1.5225199528364424,-2.280475748413574,2.791368147707693,-2.261401034419226,-1.5570298924516528,0.0018754062989796397
-1.520278178945337,-2.2817808193823375,2.793658913563233,-2.2694171345623233,-1.556897984967576,0.0018377747038159423
-1.5179853574132538,-2.283097824006549,2.7959717578321914,-2.2775863600089097,-1.5567646608969792,0.0018008681272820046
-1.5156454439630678,-2.2844361420985106,2.7982888071640195,-2.2859020527924754,-1.5566300022316861,0.001764679734255348
-1.5132610393447272,-2.2858023587084695,2.800596771252994,-2.2943591937149543,-1.5564940620599719,0.0017291961922123141
-1.5108216613833392,-2.2871722537347385,2.802884208407061,-2.3029563829246578,-1.5563513892566692,0.0016944274832823665
-1.5083232928845787,-2.2885296051202366,2.8051435517874217,-2.3116925653492673,-1.5562007022036484,0.0016603344520666526
-1.5057654355427683,-2.289863454678372,2.8073698550325457,-2.3205668834951885,-1.5560418875521493,0.001626894592404512
-1.503149299390869,-2.2911663493543024,2.809559912828175,-2.3295786229914035,-1.5558750681116953,0.001594093399144615
-1.5004768094189906,-2.2924332125002893,2.811711695636886,-2.3387271737105797,-1.5557004020037093,0.0015619182288163355
-1.497755595818725,-2.293686069919727,2.813824935168192,-2.348009815159268,-1.5555234477243811,0.0015303405427058328
-1.494989356475082,-2.2949401816248423,2.815899201278468,-2.357424399880089,-1.5553455417257505,0.001499376099069581
-1.4921795811830092,-2.296206180698635,2.8179340646193958,-2.366969283521049,-1.5551668884902026,0.0014690038247275842
-1.4893267319379262,-2.297491517367575,2.8199292370767726,-2.3766432081457944,-1.5549875147714276,0.0014392184456742767
-1.4864315584724601,-2.298803995311874,2.821877150823151,-2.3863826980474414,-1.5548073773014983,0.0014099924004082032
-1.4834849165945687,-2.3001538729809567,2.823758285196253,-2.395994597651161,-1.5546312502451087,0.0013813151855742187
-1.480478888618091,-2.301541413168661,2.825582205943639,-2.405445897370798,-1.5544599062722237,0.0013532156259492695
-1.4774094123120254,-2.302967351207734,2.8273557069322868,-2.414738246646288,-1.5542931435790868,0.001325663884668189
